# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
bu[eu tl[dd gj[vw 	不太敢	c=0 d=0.1 t=10719
bu[eu tl[dd hk[nz 	不太好	c=1 d=1 t=5233
bu[eu tl[dd hv[re 	不太會	c=1 d=1 t=10812
bu[eu tl[dd ng[sb gb[bx 	不太能夠	c=1 d=1 t=772
bu[eu tl[dd x;[rh 	不太行	c=1 d=1 t=11029
bu[eu ts[kh 	不同	c=8 d=1.41968 t=6107
bu[eu ts[kh ti[ra yj[mr 	不同體驗	c=1 d=1 t=3440
bu[eu ug[pf xc[lw 	不生效	c=1 d=1 t=2826
bu[eu uh[bh 	不上	c=1 d=0.1 t=8514
bu[eu uh[bh bj[wd 	不上班	c=1 d=1 t=9235
bu[eu ui[op 	不是	c=37 d=1.6065 t=11298
bu[eu ui[uj 	不視	c=1 d=1 t=9792
bu[eu uk[xp 	不少	c=1 d=1 t=7566
bu[eu uv[mi 	不睡	c=1 d=1 t=9012
bu[eu vg[hv 	不正	c=0 d=0.1 t=477
bu[eu vg[hv qt[ed 	不正確	c=1 d=1 t=478
bu[eu vi[uk dk[bz 	不知道	c=18 d=2.79586 t=10798
bu[eu vi[uy ii[ft 	不支持	c=1 d=1 t=7239
bu[eu vj[db 	不沾	c=1 d=1 t=9900
bu[eu vp[dv 	不準	c=0 d=0.1 t=10403
bu[eu vp[dv bz[bo 	不準背	c=1 d=1 t=10404
bu[eu vs[ku 	不中	c=1 d=1 t=7412
bu[eu vu[rd 	不住	c=1 d=1 t=4042
bu[eu vv[pz qq[hu 	不追求	c=1 d=1 t=8423
bu[eu wj[we 	不玩	c=2 d=1.00502 t=9425
bu[eu x;[rh 	不行	c=3 d=1.00004 t=8550
bu[eu x;[tb 	不幸	c=3 d=2.06733 t=10770
bu[eu xd[ax 	不想	c=5 d=1 t=10269
bu[eu xd[rd 	不像	c=1 d=1 t=11133
bu[eu xi[uk hr[yd 	不喜歡	c=1 d=1 t=9584
bu[eu xu[ye yk[xn 	不需要	c=6 d=1.02487 t=10107
bu[eu y;[gx gl[yw 	不應該	c=1 d=1 t=1971
bu[eu yi[hh d;[gp 	不一定	c=1 d=1 t=8689
bu[eu yi[hh vi[hw 	不一致	c=3 d=1.76179 t=5926
bu[eu yi[hh yh[ay 	不一樣	c=7 d=1.77549 t=10503
bu[eu yk[xn 	不要	c=5 d=1.00001 t=10483
bu[eu yp[se xu[yw 	不允許	c=1 d=1 t=834
bu[eu ys[ou 	不用	c=12 d=1.00001 t=11261
bu[eu ys[ou bu[eu ys[ou 	不用不用	c=1 d=1 t=9088
bu[eu ys[ou dj[fo xn[dv 	不用擔心	c=1 d=1 t=2686
bu[eu yu[sv 	不予	c=1 d=1 t=7665
bu[eu zf[vx me[ps 	不怎麼	c=1 d=1 t=9492
bu[eu zl[hk 	不再	c=3 d=1 t=10704
bu[eu zl[ut ih[tv 	不在場	c=1 d=1 t=6137
bu[eu zo[rg 	不做	c=3 d=1.11361 t=8986
bu[eu zu[kv 	不足	c=1 d=1 t=391
bu[ff 	捕	c=-2 d=0.00237938 t=5526
bu[ff gb[bx hk[nz 	捕夠好	c=1 d=1 t=4778
bu[ff ho[cq 	捕獲	c=1 d=1 t=7875
bu[le 	部	c=4 d=2.26892 t=11572
bu[le ff[bd 	部分	c=14 d=1.0008 t=7546
bu[uj ji[uk 	布吉	c=1 d=1 t=8866
bu[vu bu[vu 	步步	c=1 d=1 t=1620
bu[vu vb[me 	步驟	c=2 d=1.00061 t=10072
bu[yb bu[eu bu[yb 	補不補	c=1 d=1 t=7020
bx[kd de[bb ds[qx xi[hk 	別的東西	c=1 d=1 t=2582
bx[kd rf[pd 	別人	c=3 d=1.00589 t=10947
bx[kd tv[gz 	別退	c=1 d=1 t=7784
