# Rime user dictionary
#@/db_name	ounei_hand
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	36936
#@/user_id	TAKUSEI-DESKTOP
bu[eu da[fd 	不打	c=3 d=1 t=27830
bu[eu da[fd yk[cs 	不打藥	c=1 d=1 t=10656
bu[eu da[hr 	不大	c=2 d=0.159013 t=36059
bu[eu da[hr bu[eu xc[ub 	不大不小	c=1 d=1 t=29292
bu[eu db[te ui[op 	不都是	c=1 d=1 t=9713
bu[eu dc[fb 	不掉	c=1 d=1 t=9090
bu[eu de[ro 	不得	c=0 d=0.1 t=13943
bu[eu de[ro bu[eu 	不得不	c=1 d=1 t=33331
bu[eu de[ro bu[eu wj[we 	不得不玩	c=1 d=1 t=25514
bu[eu de[ro ff[bd 	不得分	c=1 d=1 t=19834
bu[eu de[ro lc[vu 	不得了	c=1 d=1 t=10980
bu[eu dg[vt ui[qg 	不等式	c=1 d=1 t=32138
bu[eu dj[ro 	不但	c=1 d=1 t=22959
bu[eu dk[hd 	不到	c=6 d=1 t=36198
bu[eu dl[cj 	不帶	c=0 d=0.1 t=1357
bu[eu dl[cj yb[uo 	不帶有	c=1 d=1 t=1358
bu[eu do[xx 	不多	c=1 d=1 t=2207
bu[eu dr[mj 	不斷	c=1 d=1 t=31643
bu[eu ds[el 	不動	c=1 d=1 t=23636
bu[eu ds[xc 	不懂	c=3 d=1.09324 t=26190
bu[eu dv[yc 	不對	c=6 d=1 t=32989
bu[eu dv[yc oa[ke 	不對啊	c=1 d=1 t=9635
bu[eu fa[vy uk[hq 	不發燒	c=2 d=1.00215 t=1488
bu[eu ff[bd 	不分	c=0 d=0.1 t=22247
bu[eu ff[bd ug[op fu[db 	不分勝負	c=1 d=1 t=22248
bu[eu fh[fw 	不放	c=0 d=0.1 t=7090
bu[eu fh[fw zl[ut 	不放在	c=1 d=1 t=7091
bu[eu gb[bx 	不夠	c=7 d=1 t=36862
bu[eu gd[xe 	不光	c=0 d=0.1 t=10650
bu[eu gd[xe ui[op 	不光是	c=1 d=1 t=13891
bu[eu gf[zg 	不跟	c=1 d=1 t=12886
bu[eu gj[vw 	不敢	c=4 d=1 t=29770
bu[eu gk[wk 	不高	c=2 d=1.2265 t=5491
bu[eu gl[kw bm[yy 	不改變	c=1 d=1 t=34637
bu[eu go[cz 	不過	c=6 d=1.04739 t=36545
bu[eu gv[ej ze[bd 	不規則	c=1 d=1 t=676
bu[eu gv[vb 	不貴	c=1 d=1 t=9120
bu[eu gz[sr 	不給	c=2 d=1 t=25283
bu[eu gz[sr kj[fm 	不給看	c=1 d=1 t=12145
bu[eu hk[kk 	不號	c=1 d=1 t=5047
bu[eu hk[nz 	不好	c=12 d=0.1107 t=33763
bu[eu hk[nz pz[yk 	不好配	c=1 d=1 t=16458
bu[eu hk[nz uo[yb 	不好說	c=4 d=1 t=31359
bu[eu hk[nz yi[lx si[tx 	不好意思	c=8 d=2.04887 t=36378
bu[eu hr[fd 	不換	c=1 d=1 t=8211
bu[eu hv[re 	不會	c=24 d=0.100926 t=35666
bu[eu hv[re bz[yp 	不會被	c=2 d=1 t=28570
bu[eu hv[re da[fd dr[mj 	不會打斷	c=1 d=1 t=33458
bu[eu hv[re dl[cj 	不會帶	c=1 d=1 t=35667
bu[eu hv[re gz[sr 	不會給	c=1 d=1 t=21574
bu[eu hv[re ll[hm 	不會來	c=1 d=1 t=16818
bu[eu hv[re ui[op 	不會是	c=1 d=1 t=26130
bu[eu ig[wv 	不成	c=0 d=0.1 t=36615
bu[eu ih[ph 	不長	c=1 d=1 t=24442
bu[eu ii[[ iu[hd 	不彳亍	c=1 d=1 t=31811
bu[eu ii[kr 	不喫	c=3 d=1.96561 t=17552
bu[eu ii[kr bk[ub 	不喫飽	c=1 d=1 t=20227
bu[eu ii[uz 	不遲	c=1 d=1 t=24015
bu[eu ij[lp ug[pf 	不產生	c=1 d=1 t=22525
bu[eu ik[zd go[cz 	不超過	c=2 d=1 t=10253
bu[eu ir[xy 	不穿	c=0 d=0.1 t=15423
bu[eu ir[xy qd[tt 	不穿牆	c=1 d=1 t=20402
bu[eu iu[ck 	不出	c=2 d=0.744036 t=13346
bu[eu iu[ck ll[hm 	不出來	c=2 d=0.1 t=25908
bu[eu iu[di fa[vy 	不觸發	c=1 d=1 t=17567
bu[eu jc[kv 	不叫	c=2 d=1 t=27887
bu[eu jc[li 	不交	c=1 d=1 t=9396
bu[eu ji[dx 	不急	c=2 d=1 t=34014
bu[eu ji[yu sr[vm 	不計算	c=1 d=1 t=22217
bu[eu jn[ry 	不僅	c=1 d=1 t=18459
bu[eu jn[ry jn[ry ui[op 	不僅僅是	c=0 d=0.1 t=24331
bu[eu jn[ud 	不盡	c=1 d=1 t=27317
bu[eu jq[wy 	不就	c=1 d=1 t=15590
bu[eu jw[lk bz[rl 	不加倍	c=1 d=1 t=31173
